# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
   0.0761027   -0.0443184      1.45633     0.841926    -0.183647       6.8224
   0.0705179   -0.0429956      1.46626     0.831049    -0.193069      6.90047
   0.0652151   -0.0416596      1.47644     0.819514    -0.202645      6.98079
   0.0601843   -0.0403121      1.48694     0.807319    -0.212379      7.06363
   0.0554156   -0.0389549      1.49788     0.794423    -0.222248      7.14972
   0.0509001   -0.0375896      1.50939     0.780748    -0.232212      7.23983
   0.0466273   -0.0362171      1.52152     0.766197    -0.242251      7.33431
    0.042587   -0.0348381      1.53428     0.750678     -0.25236      7.43319
   0.0387704   -0.0334532      1.54767     0.734094    -0.262543      7.53645
   0.0351764    -0.032066      1.56184     0.716288    -0.272722      7.64512
   0.0317973   -0.0306776      1.57715     0.697001    -0.282717      7.76189
   0.0286253   -0.0292889      1.59408     0.676211    -0.292315       7.8902
    0.025651   -0.0278997      1.61231     0.653725    -0.301528      8.02827
   0.0228653   -0.0265095      1.63173     0.629484    -0.310373      8.17543
   0.0202554   -0.0251152      1.65278     0.603412     -0.31857      8.33455
   0.0178113   -0.0237137      1.67545     0.575325    -0.325884        8.506
   0.0155383   -0.0223101      1.69952     0.545118    -0.332022      8.68845
   0.0134419   -0.0209121      1.72473     0.512859     -0.33675      8.88019
   0.0115116   -0.0195174      1.75105     0.478586    -0.339745      9.08123
  0.00973556   -0.0181215       1.7783     0.442259    -0.340867      9.29012
   0.0081031   -0.0167178      1.80655     0.403827    -0.339847      9.50738
   0.0066153   -0.0153079      1.83611     0.363115    -0.336502      9.73473
  0.00528875   -0.0139127      1.87124     0.319099    -0.329428      10.0037
   0.0041015   -0.0125165      1.92642     0.266752    -0.313605      10.4235
   0.0021608  -0.00976154      1.99101     0.202555    -0.283819      10.9182
 0.000770689  -0.00708761      2.04497     0.136227    -0.235031      11.3344
-0.000123603  -0.00452511       2.0831    0.0823589    -0.167343      11.6281
-0.000582446  -0.00215245      2.09972    0.0481612   -0.0886173       11.755
     -0.0007 -1.47074e-08      2.10286    0.0363098  -0.00472939       11.777
-0.000582493   0.00215323      2.10028    0.0467973    0.0792303      11.7535
-0.000123862   0.00452725      2.08488    0.0799129     0.158164      11.6292
 0.000766658   0.00708031       2.0495     0.133794     0.227139      11.3481
  0.00216737   0.00977298      1.99644     0.201171     0.279251      10.9322
  0.00409561    0.0125114      1.93087     0.266907     0.312363      10.4278
  0.00529628    0.0139232      1.87554     0.320497     0.329712       10.007
