x y rho u v p
0.199490 0.059496 1.409756 0.849588 0.007495 6.312166
0.210613 0.060097 1.408343 0.849703 0.006349 6.303012
0.222117 0.060628 1.406974 0.849796 0.005258 6.294190
0.234015 0.061087 1.405659 0.849869 0.004227 6.285766
0.246257 0.061468 1.404398 0.849925 0.003256 6.277731
0.258874 0.061771 1.403192 0.849965 0.002342 6.270081
0.271850 0.061992 1.402040 0.849990 0.001484 6.262807
0.285156 0.062130 1.400942 0.850004 0.000680 6.255899
0.298818 0.062183 1.399895 0.850008 -0.000074 6.249350
0.312779 0.062143 1.398899 0.850002 -0.000787 6.243135
0.327065 0.062016 1.397949 0.849988 -0.001466 6.237234
0.341626 0.061802 1.397044 0.849967 -0.002112 6.231639
0.356469 0.061501 1.396185 0.849941 -0.002727 6.226341
0.371553 0.061114 1.395370 0.849909 -0.003310 6.221333
0.386876 0.060642 1.394597 0.849873 -0.003862 6.216602
0.402398 0.060086 1.393857 0.849834 -0.004391 6.212085
0.418110 0.059437 1.393141 0.849791 -0.004903 6.207724
0.433971 0.058711 1.392451 0.849746 -0.005396 6.203540
0.449969 0.057909 1.391794 0.849698 -0.005865 6.199562
0.466065 0.057037 1.391168 0.849649 -0.006312 6.195786
0.482241 0.056097 1.390573 0.849600 -0.006737 6.192203
0.498460 0.055094 1.390008 0.849549 -0.007140 6.188811
0.514698 0.054034 1.389474 0.849499 -0.007521 6.185610
0.530924 0.052919 1.388967 0.849448 -0.007883 6.182580
0.547110 0.051755 1.388485 0.849398 -0.008226 6.179708
0.563225 0.050546 1.388027 0.849348 -0.008552 6.176981
0.579247 0.049297 1.387590 0.849299 -0.008863 6.174388
0.595139 0.048014 1.387162 0.849250 -0.009168 6.171848
0.610885 0.046690 1.386722 0.849199 -0.009481 6.169236
0.626445 0.045337 1.386273 0.849148 -0.009801 6.166571
0.641817 0.043963 1.385831 0.849096 -0.010116 6.163946
0.656949 0.042574 1.385400 0.849045 -0.010422 6.161393
0.671851 0.041174 1.384980 0.848994 -0.010721 6.158909
0.686470 0.039769 1.384569 0.848943 -0.011013 6.156477
0.700824 0.038358 1.384139 0.848891 -0.011319 6.153929
0.714855 0.036934 1.383662 0.848835 -0.011659 6.151099
0.728591 0.035513 1.383161 0.848777 -0.012015 6.148128
0.741978 0.034103 1.382662 0.848718 -0.012371 6.145165
0.755040 0.032703 1.382164 0.848659 -0.012725 6.142212
0.767747 0.031319 1.381669 0.848599 -0.013078 6.139273
0.780086 0.029955 1.381174 0.848539 -0.013430 6.136344
0.792082 0.028608 1.380671 0.848478 -0.013788 6.133360
0.803681 0.027282 1.380122 0.848413 -0.014179 6.130102
0.814929 0.025966 1.379509 0.848342 -0.014617 6.126457
0.825803 0.024677 1.378864 0.848267 -0.015077 6.122618
0.836278 0.023419 1.378211 0.848191 -0.015543 6.118735
0.846407 0.022188 1.377553 0.848114 -0.016013 6.114818
